"Ing1","Ing2","Occurrence"
"plain flour","orange flower water","1"
"plain flour","chopped roasted almonds","1"
"plain flour","dried chestnuts","0"
"plain flour","mandarin peel","0"
"plain flour","of ground cloves","1"
"plain flour","of ground aniseed","1"
"plain flour","sesame seeds","1"
"plain flour","butter ","0"
"plain flour","chicken or beef stock ","0"
"plain flour","tomato paste ","0"
"plain flour","tomato puree ","0"
"plain flour","macaroni or penne ","0"
"plain flour","parmesan","0"
"plain flour","tasty cheese","0"
"plain flour","salt and pepper ","0"
"plain flour","puff pastry sheets","0"
"plain flour","large onions","0"
"plain flour","tin tomatoes ","0"
"plain flour","flat-leaf parsley leaves ","0"
"plain flour","red wine ","0"
"plain flour","water ","0"
"plain flour","thin slices of topside or round steak ","0"
"plain flour","minced veal ","0"
"plain flour","bacon rashers","0"
"plain flour","finely chopped flat-leaf parsley","0"
"plain flour","finely chopped oregano","0"
"plain flour","spring onion","0"
"plain flour","grated gbejniet","0"
"plain flour","salt and pepper","0"
"plain flour","day-old loaf of bread","0"
"plain flour","sugar ","0"
"plain flour","custard powder ","0"
"plain flour","cornflour ","0"
"plain flour","cocoa ","0"
"plain flour","mixed dried fruit such as sultanas","0"
"plain flour","almonds ","0"
"plain flour","glacé cherries","0"
"plain flour","vanilla extract ","0"
"plain flour","whisky","0"
"plain flour","French shallots","0"
"plain flour","head garlic","0"
"plain flour","sprigs of thyme ","0"
"plain flour","sherry vinegar","0"
"plain flour","port","0"
"plain flour","reduced chicken stock","0"
"plain flour","large washed Sebago potatoes","0"
"plain flour","Maltese pork sausage meat","0"
"plain flour","baby rocket leaves","0"
"plain flour","sprigs thyme ","0"
"plain flour","brandy","0"
"plain flour","truffle oil","0"
"plain flour","truffle paste","0"
"plain flour","rabbit  ","0"
"plain flour","bay leaves ","0"
"plain flour","slices of dense","0"
"plain flour","kunserva  ","0"
"plain flour","capers ","0"
"plain flour","white anchovies or tinned tuna in oil","0"
"plain flour","sea salt and freshly ground black pepper ","0"
"plain flour","chopped parsley ","0"
"plain flour","kohlrabi","0"
"plain flour","podded broad beans","0"
"plain flour","podded peas  ","0"
"plain flour","small cauliflower","0"
"plain flour","vegetable or chicken stock ","0"
"tbsp salt flakes","tbsp salt flakes","1"
"tbsp salt flakes","water","1"
"tbsp salt flakes","butter","1"
"tbsp salt flakes","olive oil","1"
"tbsp salt flakes","brown onion","1"
"tbsp salt flakes","cloves garlic","1"
"tbsp salt flakes","zucchini","1"
"tbsp salt flakes","pumpkin","1"
"tbsp salt flakes","frozen peas","1"
"tbsp salt flakes","handful parsley","1"
"tbsp salt flakes","handful mint","1"
"tbsp salt flakes","eggs","1"
"tbsp salt flakes","fresh ricotta","1"
"tbsp salt flakes","sea salt and freshly ground black pepper","1"
"tbsp salt flakes","crusty ciabatta rolls","0"
"tbsp salt flakes","sun-dried tomato paste","0"
"tbsp salt flakes","extra virgin olive oil","0"
"tbsp salt flakes","white anchovies in oil","0"
"tbsp salt flakes","black olives","0"
"tbsp salt flakes","baby pickled onions","0"
"tbsp salt flakes","tiny capers","0"
"tbsp salt flakes","handful flat-leaf parsley leaves","0"
"tbsp salt flakes","star anise","0"
"tbsp salt flakes","cinnamon quill","0"
"tbsp salt flakes","bay leaf","0"
"tbsp salt flakes","sprigs thyme","0"
"tbsp salt flakes","white peppercorns","0"
"tbsp salt flakes","salt","0"
"tbsp salt flakes","  lemon","0"
"tbsp salt flakes","orange","0"
"tbsp salt flakes","piece fresh tuna","0"
"tbsp salt flakes","rabbit","0"
"tbsp salt flakes","sea salt and freshly ground pepper","0"
"tbsp salt flakes","vegetable oil","0"
"tbsp salt flakes","onions","0"
"tbsp salt flakes","head garlic","0"
"tbsp salt flakes","tomato paste","0"
"tbsp salt flakes","curry powder","0"
"tbsp salt flakes","ground turmeric","0"
"tbsp salt flakes","paprika","0"
"tbsp salt flakes","ground cumin","0"
"tbsp salt flakes","chicken stock","0"
"tbsp salt flakes","potatoes","0"
"tbsp salt flakes","podded peas","0"
"tbsp salt flakes","parsley leaves","0"
"tbsp salt flakes","ml olive oil","0"
"tbsp salt flakes"," head garlic","0"
"tbsp salt flakes","ml red wine","0"
"tbsp salt flakes"," bay leaves","0"
"tbsp salt flakes"," cinnamon sticks","0"
"tbsp salt flakes"," star anise","0"
"tbsp salt flakes"," cloves","0"
"tbsp salt flakes","sourdough loaf","0"
"tbsp salt flakes","tomato pesto","0"
"tbsp salt flakes","red onion","0"
"tbsp salt flakes","salted capers","0"
"tbsp salt flakes","basil leaves","0"
"tbsp salt flakes","pitted black olives","0"
"tbsp salt flakes","pure icing sugar","0"
"tbsp salt flakes","baking powder","0"
"tbsp salt flakes","lemons","0"
"tbsp salt flakes","cold unsalted butter","0"
"tbsp salt flakes","egg yolks","0"
"tbsp salt flakes","drops orange blossom water","0"
"tbsp salt flakes","marzipan","0"
"tbsp salt flakes","small Easter eggs","0"
"tbsp salt flakes","egg whites","0"
"tbsp salt flakes","Red and black food colouring","0"
"tbsp salt flakes","onion","0"
"tbsp salt flakes","garlic cloves","0"
"tbsp salt flakes","bay leaves","0"
"tbsp salt flakes","bacon","0"
"tbsp salt flakes","minced beef","0"
"tbsp salt flakes","minced pork","0"
"tbsp salt flakes","chicken livers","0"
"tbsp salt flakes","canned chopped tomatoes","0"
"tbsp salt flakes","beef stock","0"
"tbsp salt flakes","of grated nutmeg","0"
"tbsp salt flakes","penne or other tubular pasta","0"
"tbsp salt flakes","finely grated parmesan","0"
"tbsp salt flakes","frozen puff pastry","0"
"tbsp salt flakes","milk","0"
"tbsp salt flakes","flat-leaf parsley","0"
"tbsp salt flakes","eschalot","0"
"tbsp salt flakes","baby capers","0"
"tbsp salt flakes","lemon juice","0"
"tbsp salt flakes","dried broad beans","0"
"tbsp salt flakes","long red chilli","0"
"tbsp salt flakes","lemon","0"
"tbsp salt flakes","crackers and raw carrots","0"
"tbsp salt flakes","ripe pears","0"
"tbsp salt flakes","sweet dessert wine","0"
"tbsp salt flakes","almond meal","0"
"tbsp salt flakes","caster sugar","0"
"tbsp salt flakes","unsalted butter","0"
"tbsp salt flakes","amaretto","0"
"tbsp salt flakes","grated lemon rind","0"
"tbsp salt flakes","ice-cream or warm vanilla custard","0"
"tbsp salt flakes","red apples","0"
"tbsp salt flakes","dried figs","0"
"tbsp salt flakes","apple juice","0"
"tbsp salt flakes","finely grated rind of one lemon","0"
"tbsp salt flakes","self-raising flour","0"
"tbsp salt flakes","ground cinnamon","0"
"tbsp salt flakes","mixed spice","0"
"tbsp salt flakes","whipped cream","0"
"tbsp salt flakes","boneless pork shoulder","0"
"tbsp salt flakes","dried mint ","0"
"tbsp salt flakes","flaked almonds","0"
"tbsp salt flakes","whole cloves","0"
"tbsp salt flakes","cinnamon sticks","0"
"tbsp salt flakes","soy sauce","0"
"tbsp salt flakes","fish sauce","0"
"tbsp salt flakes","brown sugar","0"
"tbsp salt flakes","sabaht baharat  (see note)","0"
"tbsp salt flakes","minced garlic","0"
"tbsp salt flakes","salt ","0"
"tbsp salt flakes","ice-cold water ","0"
"tbsp salt flakes","Kewpie mayonnaise","0"
"tbsp salt flakes","Dijon mustard","0"
"tbsp salt flakes","honey","0"
"tbsp salt flakes","rabbit pieces","0"
"tbsp salt flakes","large brown onion","0"
"tbsp salt flakes","tin whole peeled tomatoes","0"
"tbsp salt flakes","white wine","0"
"tbsp salt flakes","sprigs of rosemary","0"
"tbsp salt flakes","carrots","0"
"tbsp salt flakes","mushrooms","0"
"tbsp salt flakes","cooked white rice","0"
"tbsp salt flakes","fresh peaches","0"
"tbsp salt flakes","white flour","0"
"tbsp salt flakes","wheat flour","0"
"tbsp salt flakes","white sugar","0"
"tbsp salt flakes","vanilla extract","0"
"tbsp salt flakes","ice-cream or yoghurt","0"
"tbsp salt flakes","pitted dates","0"
"tbsp salt flakes","evaporated milk ","0"
"tbsp salt flakes","whiskey","0"
"tbsp salt flakes","plain biscuits","0"
"tbsp salt flakes","roasted hazelnuts","0"
"tbsp salt flakes","dried apricots","0"
"tbsp salt flakes","good quality dark chocolate","0"
"tbsp salt flakes","icing sugar","0"
"tbsp salt flakes","rice","0"
"tbsp salt flakes","chopped onions","0"
"tbsp salt flakes","fresh mint","0"
"tbsp salt flakes","anchovy fillets","0"
"tbsp salt flakes","canned tuna","0"
"tbsp salt flakes","sebago potatoes","0"
"tbsp salt flakes","extra virgin olive oil ","0"
"tbsp salt flakes","dried oregano ","0"
"tbsp salt flakes","garfish","0"
"tbsp salt flakes","olive oil ","0"
"tbsp salt flakes","plain flour ","0"
"tbsp salt flakes","semolina ","0"
"tbsp salt flakes","margarine ","0"
"tbsp salt flakes","orange juice or water ","0"
"tbsp salt flakes","jar  of treacle ","0"
"tbsp salt flakes","mandarin","0"
"tbsp salt flakes","ground cloves ","0"
"tbsp salt flakes","mixed spice ","0"
"tbsp salt flakes","aniseed liqueur ","0"
"tbsp salt flakes","hot water ","0"
"tbsp salt flakes","semolina","0"
"tbsp salt flakes","finely grated lemon rind","0"
"tbsp salt flakes"," tsp vanilla essence","0"
"tbsp salt flakes","wholemeal breadcrumbs","0"
"tbsp salt flakes","skim milk","0"
"tbsp salt flakes","chicken mince","0"
"tbsp salt flakes","mixed herbs","0"
"tbsp salt flakes","egg","0"
"tbsp salt flakes","tomatoes","0"
"tbsp salt flakes","Parsley to garnish","0"
"tbsp salt flakes","eggplant","0"
"tbsp salt flakes","celery stalks","0"
"tbsp salt flakes","olives","0"
"tbsp salt flakes","capers","0"
"tbsp salt flakes"," water","0"
"tbsp salt flakes","globe artichokes","0"
"tbsp salt flakes","heads garlic","0"
"tbsp salt flakes","finely chopped parsley","0"
"tbsp salt flakes","green or black olives","0"
"tbsp salt flakes","can tuna","0"
"tbsp salt flakes","ground almonds","0"
"tbsp salt flakes","sugar","0"
"tbsp salt flakes","cocoa powder","0"
"tbsp salt flakes","ground cloves","0"
"tbsp salt flakes","orange flower water","0"
"tbsp salt flakes","chopped roasted almonds","0"
"tbsp salt flakes","dried chestnuts","0"
"tbsp salt flakes","mandarin peel","0"
"tbsp salt flakes","of ground cloves","0"
"tbsp salt flakes","of ground aniseed","0"
"tbsp salt flakes","sesame seeds","0"
"tbsp salt flakes","butter ","0"
"tbsp salt flakes","chicken or beef stock ","0"
"tbsp salt flakes","tomato paste ","0"
"tbsp salt flakes","tomato puree ","0"
"tbsp salt flakes","macaroni or penne ","0"
"tbsp salt flakes","parmesan","0"
"tbsp salt flakes","tasty cheese","0"
"tbsp salt flakes","salt and pepper ","0"
"tbsp salt flakes","puff pastry sheets","0"
"tbsp salt flakes","large onions","0"
"tbsp salt flakes","tin tomatoes ","0"
"tbsp salt flakes","flat-leaf parsley leaves ","0"
"tbsp salt flakes","red wine ","0"
"tbsp salt flakes","water ","0"
"tbsp salt flakes","thin slices of topside or round steak ","0"
"tbsp salt flakes","minced veal ","0"
"tbsp salt flakes","bacon rashers","0"
"tbsp salt flakes","finely chopped flat-leaf parsley","0"
"tbsp salt flakes","finely chopped oregano","0"
"tbsp salt flakes","spring onion","0"
"tbsp salt flakes","grated gbejniet","0"
"tbsp salt flakes","salt and pepper","0"
"tbsp salt flakes","day-old loaf of bread","0"
"tbsp salt flakes","sugar ","0"
"tbsp salt flakes","custard powder ","0"
"tbsp salt flakes","cornflour ","0"
"tbsp salt flakes","cocoa ","0"
"tbsp salt flakes","mixed dried fruit such as sultanas","0"
"tbsp salt flakes","almonds ","0"
"tbsp salt flakes","glacé cherries","0"
"tbsp salt flakes","vanilla extract ","0"
"tbsp salt flakes","whisky","0"
"tbsp salt flakes","French shallots","0"
"tbsp salt flakes","head garlic","0"
"tbsp salt flakes","sprigs of thyme ","0"
"tbsp salt flakes","sherry vinegar","0"
"tbsp salt flakes","port","0"
"tbsp salt flakes","reduced chicken stock","0"
"tbsp salt flakes","large washed Sebago potatoes","0"
"tbsp salt flakes","Maltese pork sausage meat","0"
"tbsp salt flakes","baby rocket leaves","0"
"tbsp salt flakes","sprigs thyme ","0"
"tbsp salt flakes","brandy","0"
"tbsp salt flakes","truffle oil","0"
"tbsp salt flakes","truffle paste","0"
"tbsp salt flakes","rabbit  ","0"
"tbsp salt flakes","bay leaves ","0"
"tbsp salt flakes","slices of dense","0"
"tbsp salt flakes","kunserva  ","0"
"tbsp salt flakes","capers ","0"
"tbsp salt flakes","white anchovies or tinned tuna in oil","0"
"tbsp salt flakes","sea salt and freshly ground black pepper ","0"
"tbsp salt flakes","chopped parsley ","0"
"tbsp salt flakes","kohlrabi","0"
"tbsp salt flakes","podded broad beans","0"
"tbsp salt flakes","podded peas  ","0"
"tbsp salt flakes","small cauliflower","0"
"tbsp salt flakes","vegetable or chicken stock ","0"
"water","water","5"
"water","butter","1"
"water","olive oil","4"
"water","brown onion","1"
"water","cloves garlic","1"
"water","zucchini","1"
"water","pumpkin","2"
"water","frozen peas","1"
"water","handful parsley","1"
"water","handful mint","1"
"water","eggs","1"
"water","fresh ricotta","1"
"water","sea salt and freshly ground black pepper","1"
"water","crusty ciabatta rolls","0"
"water","sun-dried tomato paste","0"
"water","extra virgin olive oil","0"
"water","white anchovies in oil","0"
"water","black olives","1"
"water","baby pickled onions","0"
"water","tiny capers","0"
"water","handful flat-leaf parsley leaves","0"
"water","star anise","0"
"water","cinnamon quill","0"
"water","bay leaf","0"
"water","sprigs thyme","0"
"water","white peppercorns","0"
"water","salt","0"
"water","  lemon","0"
"water","orange","1"
"water","piece fresh tuna","0"
"water","rabbit","0"
"water","sea salt and freshly ground pepper","0"
"water","vegetable oil","0"
"water","onions","0"
"water","head garlic","0"
"water","tomato paste","0"
"water","curry powder","0"
"water","ground turmeric","0"
"water","paprika","0"
"water","ground cumin","0"
"water","chicken stock","0"
"water","potatoes","0"
"water","podded peas","0"
"water","parsley leaves","0"
"water","ml olive oil","0"
"water"," head garlic","0"
"water","ml red wine","0"
"water"," bay leaves","0"
"water"," cinnamon sticks","0"
"water"," star anise","0"
"water"," cloves","0"
"water","sourdough loaf","0"
"water","tomato pesto","0"
"water","red onion","0"
"water","salted capers","0"
"water","basil leaves","0"
"water","pitted black olives","0"
"water","pure icing sugar","0"
"water","baking powder","1"
"water","lemons","0"
"water","cold unsalted butter","0"
"water","egg yolks","0"
"water","drops orange blossom water","0"
"water","marzipan","0"
"water","small Easter eggs","0"
"water","egg whites","0"
"water","Red and black food colouring","0"
"water","onion","0"
"water","garlic cloves","0"
"water","bay leaves","0"
"water","bacon","0"
"water","minced beef","0"
"water","minced pork","0"
"water","chicken livers","0"
"water","canned chopped tomatoes","0"
"water","beef stock","0"
"water","of grated nutmeg","0"
"water","penne or other tubular pasta","0"
"water","finely grated parmesan","0"
"water","frozen puff pastry","0"
"water","milk","0"
"water","flat-leaf parsley","0"
"water","eschalot","0"
"water","baby capers","0"
"water","lemon juice","0"
"water","dried broad beans","0"
"water","long red chilli","0"
"water","lemon","1"
"water","crackers and raw carrots","0"
"water","ripe pears","0"
"water","sweet dessert wine","0"
"water","almond meal","0"
"water","caster sugar","0"
"water","unsalted butter","0"
"water","amaretto","0"
"water","grated lemon rind","1"
"water","ice-cream or warm vanilla custard","0"
"water","red apples","0"
"water","dried figs","0"
"water","apple juice","0"
"water","finely grated rind of one lemon","0"
"water","self-raising flour","0"
"water","ground cinnamon","1"
"water","mixed spice","2"
"water","whipped cream","0"
"water","boneless pork shoulder","0"
"water","dried mint ","0"
"water","flaked almonds","0"
"water","whole cloves","1"
"water","cinnamon sticks","0"
"water","soy sauce","0"
"water","fish sauce","0"
"water","brown sugar","0"
"water","sabaht baharat  (see note)","0"
"water","minced garlic","0"
"water","salt ","0"
"water","ice-cold water ","0"
"water","Kewpie mayonnaise","0"
"water","Dijon mustard","0"
"water","honey","1"
"water","rabbit pieces","0"
"water","large brown onion","0"
"water","tin whole peeled tomatoes","0"
"water","white wine","0"
"water","sprigs of rosemary","0"
"water","carrots","0"
"water","mushrooms","0"
"water","cooked white rice","0"
"water","fresh peaches","0"
"water","white flour","0"
"water","wheat flour","0"
"water","white sugar","0"
"water","vanilla extract","0"
"water","ice-cream or yoghurt","0"
"water","pitted dates","0"
"water","evaporated milk ","0"
"water","whiskey","0"
"water","plain biscuits","0"
"water","roasted hazelnuts","0"
"water","dried apricots","0"
"water","good quality dark chocolate","0"
"water","icing sugar","0"
"water","rice","1"
"water","chopped onions","1"
"water","fresh mint","1"
"water","anchovy fillets","1"
"water","canned tuna","1"
"water","sebago potatoes","0"
"water","extra virgin olive oil ","0"
"water","dried oregano ","0"
"water","garfish","0"
"water","olive oil ","0"
"water","plain flour ","0"
"water","semolina ","0"
"water","margarine ","0"
"water","orange juice or water ","0"
"water","jar  of treacle ","0"
"water","mandarin","0"
"water","ground cloves ","0"
"water","mixed spice ","0"
"water","aniseed liqueur ","0"
"water","hot water ","0"
"water","semolina","0"
"water","finely grated lemon rind","0"
"water"," tsp vanilla essence","0"
"water","wholemeal breadcrumbs","0"
"water","skim milk","0"
"water","chicken mince","0"
"water","mixed herbs","0"
"water","egg","1"
"water","tomatoes","0"
"water","Parsley to garnish","0"
"water","eggplant","0"
"water","celery stalks","0"
"water","olives","0"
"water","capers","0"
"water"," water","0"
"water","globe artichokes","0"
"water","heads garlic","0"
"water","finely chopped parsley","0"
"water","green or black olives","0"
"water","can tuna","0"
"water","ground almonds","1"
"water","sugar","3"
"water","cocoa powder","2"
"water","ground cloves","1"
"water","orange flower water","1"
"water","chopped roasted almonds","1"
"water","dried chestnuts","1"
"water","mandarin peel","1"
"water","of ground cloves","1"
"water","of ground aniseed","1"
"water","sesame seeds","1"
"water","butter ","0"
"water","chicken or beef stock ","0"
"water","tomato paste ","0"
"water","tomato puree ","0"
"water","macaroni or penne ","0"
"water","parmesan","0"
"water","tasty cheese","0"
"water","salt and pepper ","0"
"water","puff pastry sheets","0"
"water","large onions","0"
"water","tin tomatoes ","0"
"water","flat-leaf parsley leaves ","0"
"water","red wine ","0"
"water","water ","0"
"water","thin slices of topside or round steak ","0"
"water","minced veal ","0"
"water","bacon rashers","0"
"water","finely chopped flat-leaf parsley","0"
"water","finely chopped oregano","0"
"water","spring onion","0"
"water","grated gbejniet","0"
"water","salt and pepper","0"
"water","day-old loaf of bread","0"
"water","sugar ","0"
"water","custard powder ","0"
"water","cornflour ","0"
"water","cocoa ","0"
"water","mixed dried fruit such as sultanas","0"
"water","almonds ","0"
"water","glacé cherries","0"
"water","vanilla extract ","0"
"water","whisky","0"
"water","French shallots","0"
"water","head garlic","0"
"water","sprigs of thyme ","0"
"water","sherry vinegar","0"
"water","port","0"
"water","reduced chicken stock","0"
"water","large washed Sebago potatoes","0"
"water","Maltese pork sausage meat","0"
"water","baby rocket leaves","0"
"water","sprigs thyme ","0"
"water","brandy","0"
"water","truffle oil","0"
"water","truffle paste","0"
"water","rabbit  ","0"
"water","bay leaves ","0"
"water","slices of dense","0"
"water","kunserva  ","0"
"water","capers ","0"
"water","white anchovies or tinned tuna in oil","0"
"water","sea salt and freshly ground black pepper ","0"
"water","chopped parsley ","0"
"water","kohlrabi","0"
"water","podded broad beans","0"
"water","podded peas  ","0"
"water","small cauliflower","0"
"water","vegetable or chicken stock ","0"
"butter","butter","2"
"butter","olive oil","1"
"butter","brown onion","1"
"butter","cloves garlic","1"
"butter","zucchini","1"
"butter","pumpkin","1"
"butter","frozen peas","1"
"butter","handful parsley","1"
"butter","handful mint","1"
"butter","eggs","1"
"butter","fresh ricotta","1"
"butter","sea salt and freshly ground black pepper","1"
"butter","crusty ciabatta rolls","0"
"butter","sun-dried tomato paste","0"
"butter","extra virgin olive oil","0"
"butter","white anchovies in oil","0"
"butter","black olives","0"
"butter","baby pickled onions","0"
"butter","tiny capers","0"
"butter","handful flat-leaf parsley leaves","0"
"butter","star anise","0"
"butter","cinnamon quill","0"
"butter","bay leaf","0"
"butter","sprigs thyme","0"
"butter","white peppercorns","0"
"butter","salt","0"
"butter","  lemon","0"
"butter","orange","0"
"butter","piece fresh tuna","0"
"butter","rabbit","0"
"butter","sea salt and freshly ground pepper","0"
"butter","vegetable oil","0"
"butter","onions","0"
"butter","head garlic","0"
"butter","tomato paste","0"
"butter","curry powder","0"
"butter","ground turmeric","0"
"butter","paprika","0"
"butter","ground cumin","0"
"butter","chicken stock","0"
"butter","potatoes","1"
"butter","podded peas","0"
"butter","parsley leaves","0"
"butter","ml olive oil","0"
"butter"," head garlic","0"
"butter","ml red wine","0"
"butter"," bay leaves","0"
"butter"," cinnamon sticks","0"
"butter"," star anise","0"
"butter"," cloves","0"
"butter","sourdough loaf","0"
"butter","tomato pesto","0"
"butter","red onion","0"
"butter","salted capers","0"
"butter","basil leaves","0"
"butter","pitted black olives","0"
"butter","pure icing sugar","0"
"butter","baking powder","0"
"butter","lemons","0"
"butter","cold unsalted butter","0"
"butter","egg yolks","0"
"butter","drops orange blossom water","0"
"butter","marzipan","0"
"butter","small Easter eggs","0"
"butter","egg whites","0"
"butter","Red and black food colouring","0"
"butter","onion","1"
"butter","garlic cloves","1"
"butter","bay leaves","0"
"butter","bacon","0"
"butter","minced beef","0"
"butter","minced pork","0"
"butter","chicken livers","0"
"butter","canned chopped tomatoes","0"
"butter","beef stock","0"
"butter","of grated nutmeg","0"
"butter","penne or other tubular pasta","0"
"butter","finely grated parmesan","0"
"butter","frozen puff pastry","0"
"butter","milk","0"
"butter","flat-leaf parsley","0"
"butter","eschalot","0"
"butter","baby capers","0"
"butter","lemon juice","0"
"butter","dried broad beans","0"
"butter","long red chilli","0"
"butter","lemon","0"
"butter","crackers and raw carrots","0"
"butter","ripe pears","0"
"butter","sweet dessert wine","0"
"butter","almond meal","0"
"butter","caster sugar","0"
"butter","unsalted butter","0"
"butter","amaretto","0"
"butter","grated lemon rind","0"
"butter","ice-cream or warm vanilla custard","0"
"butter","red apples","0"
"butter","dried figs","0"
"butter","apple juice","0"
